title,abstract,pubYear,targets,normalized_text
Obesity and Heart Failure: Mechanistic Insights and the Regulatory Role of MicroRNAs.,"Heart failure (HF) remains a leading cause of morbidity and mortality worldwide, driven by diverse pathophysiological mechanisms. Among its major risk factors, obesity has emerged as a lobal public health concern affecting individuals across all age groups. The rising prevalence of obesity significantly increases the risk of cardiovascular complications, including the development and progression of HF. MicroRNAs (miRNAs), small non-coding RNA molecules, have garnered attention for their regulatory roles in cardiovascular disease, particularly through post-transcriptional modulation of gene expression. This review highlights the involvement of miRNAs in key pathological processes observed in the obese heart, including cardiac remodeling, apoptosis, angiogenesis, inflammation, mitochondrial dysfunction, and myocardial lipotoxicity. Understanding how specific miRNAs and their targets contribute to HF in the context of obesity may inform the development of novel RNA-based therapeutic strategies for cardiometabolic disease.",2025,[],[]
Bisphenol A increases fat mass in adipose tissue by disturbing gut microbiota-dependent bile acid metabolism and TGR5/UCP1 signaling pathways in CD-1 mice.,"Disorder of gut microbiota-mediated bile acid (BA) metabolism plays a pivotal role in the pathogenesis of obesity. Our previous research showed that bisphenol A (BPA) exposure induced hepatic fat accumulation and gut microbiota dysbiosis. However, whether the gut microbiota-dependent BA metabolism alteration is involved in BPA-induced fat accumulation and obesity remains elusive. This study aimed to investigate the gut microbiota-dependent metabolic mechanism of obesity induced by BPA. Male CD-1 mice were exposed to a low dose of BPA (50 μg/kg/day) for six months. Our findings demonstrated that BPA exposure significantly augmented the fat mass of both brown and white adipose tissue, along with the proportion of adipose tissue weight relative to body weight. Furthermore, BPA reduced the relative abundance of Bacteroides, Parabacteroides, and Akkermansia, which are associated with BA metabolism. Additionally, serum levels of lithocholic acid, the most potent activator of Takeda G protein-coupled receptor 5 (TGR5), and TGR5 expression in adipose tissue were substantially diminished following BPA exposure. Inhibition of TGR5 reduced cyclic adenosine monophosphate levels, subsequently decreasing the expression of iodothyronine deiodinase 2 and fibroblast growth factor 21. These changes down-regulated the expression of uncoupling protein 1 (UCP1), ultimately leading to reduced energy expenditure and increased fat mass. Moreover, further fecal microbiota transplantation and microbiota elimination confirmed the role of gut microbiota in BPA-induced adverse effects. Collectively, our study demonstrated that the suppression of gut microbiota-BA-TGR5/UCP1 signaling pathways may constitute a potential mechanism underlying BPA-induced fat mass gain, providing a novel target for the prevention of BPA-induced obesity.",2025,"['takeda g protein - coupled receptor 5', 'tgr5', 'tgr5', 'tgr5', 'iodothyronine deiodinase 2', 'fibroblast growth factor 21', 'uncoupling protein 1', 'ucp1', 'tgr5', 'ucp1']","['tgr5', 'iodothyronine deiodinase 2', 'fibroblast growth factor 21', 'uncoupling protein 1', 'ucp1']"
Cryo-EM structure of the full-length LGR4-RSPOs complex and a targeting nanobody for anti-obesity therapy.,"Obesity poses a substantial threat to human health but lacks effective management. Recent advancements in large-scale deep sequencing and cryo-electron microscopy (cryo-EM) have transformed drug discovery paradigms. Leveraging prior genetics investigation, we pinpointed Leucine-rich repeat-containing G protein-coupled receptor 4 (LGR4) as a promising target for combating obesity. Here, we present cryo-EM structures of full-length LGR4 alone and in complex with RSPO2(FU). Notably, we develop an inhibitory nanobody (NB21) that blocks the binding of RSPO1/2 to LGR4, and we also determine the structure of the LGR4-NB21 complex. NB21-mFc (NB21 fused with mouse IgG2) effectively inhibits the canonical Wnt signaling pathway, thereby enhancing mitochondrial respiration and thermogenesis in beige adipocytes. In vivo, NB21-mFc increases energy expenditure by promoting the browning of white fat, conferring resistance to both diet-induced and genetic (ob/ob) obesity. Furthermore, LGR4 deficiency abolishes the effects of NB21-mFc in boosting the browning program and subsequent weight reduction. In summary, our study unveils structural insights into the LGR4-RSPOs and LGR4-NB21 complexes, paving the way for the development of an LGR4-targeting nanobody for weight loss.",2025,"['leucine - rich repeat - containing g protein - coupled receptor 4', 'lgr4', 'full - length lgr4', 'rspo2', 'fu', 'nb21', 'rspo1 / 2', 'lgr4', 'lgr4', 'nb21', 'nb21', 'mfc', 'nb21', 'mouse igg2', 'wnt', 'nb21', 'mfc', 'lgr4', 'nb21', 'mfc', 'lgr4', 'r', 'lgr4', 'nb21', 'lgr4']","['lgr4', 'rspo2', 'mfc', 'wnt']"
Associations of semaglutide with Alzheimer's disease-related dementias in patients with type 2 diabetes: A real-world target trial emulation study.,"BackgroundAlmost half of the dementia cases are preventable. Semaglutide treats several medical conditions that are risk factors for dementia.ObjectiveWe aim to investigate if semaglutide is associated with a decreased risk of dementia.MethodsWe conducted emulation target trials based on a nationwide population-based database of patient electronic health records (EHRs) in the US among 1,710,995 eligible patients with type 2 diabetes (T2D) comparing semaglutide with other antidiabetic medications. First-time diagnosis of Alzheimer's disease-related dementia (ADRD) including vascular dementia, frontotemporal dementia, Lewy body dementia and other dementias were examined using Cox proportional hazards and Kaplan-Meier survival analyses during a 3-year follow-up. Models were adjusted by propensity-score matching.ResultsWe show that semaglutide was associated with a significantly reduced risk of overall ADRD incidence with a hazard ratio ranging from 0.54 (0.49-0.59) compared with insulin, 0.67 (0.61-0.74) compared with metformin, to 0.80 (0.72-0.89) compared with older generation glucagon-like peptide-1 agonists (GLP-1RAs). The association varied for specific dementia types, with significantly reduced risk of vascular dementia and no evidence of associations with frontotemporal and Lewy body dementias.ConclusionsThese findings provide evidence supporting protective effects of semaglutide on dementias in patients with T2D. Future works are needed to establish the causal relationships through randomized clinical trials and to characterize the underlying mechanisms.",2025,"['insulin', 'glucagon - like peptide - 1', 'g', '##lp - 1ras']","['insulin', 'glucagon like peptide 1']"
Ret finger protein deficiency attenuates adipogenesis in male mice with high fat diet-induced obesity.,"Ret finger protein (RFP, also known as TRIM27) is a multifunctional E3 ubiquitin ligase implicated in transcriptional regulation. While previously reported to repress myogenesis, its role in adipose tissue metabolism remains unclear. Here, using both global and adipocyte-specific RFP-knockout male mice subjected to high-fat diet feeding, we found that RFP deficiency markedly attenuated body weight gain, adipose tissue expansion and adipocyte hypertrophy, while improving glucose tolerance, insulin sensitivity and circulating lipid profiles. Indirect calorimetry demonstrated significantly increased whole-body energy expenditure, independent of food intake or physical activity. Consistent with these murine findings, RFP expression was elevated in omental adipose tissue from obese human subjects, underscoring the translational relevance. Mechanistic studies revealed that RFP physically interacts with PPAR-γ and enhances its transcriptional activity, thereby promoting expression of adipogenic target genes such as AP2 and adiponectin. Loss of RFP suppressed adipocyte differentiation both in vivo and in vitro. Collectively, our findings identify RFP as a positive regulator of adipogenesis and systemic metabolism via PPAR-γ activation. Genetic ablation of RFP confers resistance to high-fat diet-induced obesity, suggesting that targeting RFP may represent a potential therapeutic strategy for obesity and related metabolic disorders.",2025,"['ret finger protein', 'rfp', 'trim27', 'e3 ubiquitin ligase', 'rfp', 'rfp', 'insulin', 'rfp', 'rfp', 'ppar - γ', 'ap2', 'adiponectin', 'rfp', 'rfp', 'ppar - γ', 'rfp', 'rfp']","['ret finger protein', 'rfp', 'trim27', 'e3 ubiquitin ligase', 'insulin', 'ap2', 'adiponectin']"
"Associations Between Asprosin, Insulin Resistance, and Oxidative Stress in Adults with Obesity","<title>Abstract</title>  <p>The global increase in obesity is strongly associated with insulin resistance (IR) and related metabolic impairments. Asprosin (ASP), a glucogenic adipokine induced by fasting, has recently emerged as a potential biomarker of IR and abnormal body composition. However, its physiological role in obesity remains incompletely understood.To evaluate the associations between serum ASP levels, IR indices, oxidative stress markers, and body composition parameters in overweight and obese adults during a standardized 4-hour oral glucose tolerance test (OGTT). This cross-sectional study included 150 adults categorized by BMI into three groups: control (CG; BMI < 25 kg/m²), overweight (O1; BMI > 25 kg/m²), and obese (O2; BMI > 30 kg/m²). Participants underwent dual-energy X-ray absorptiometry (DXA), bioelectrical impedance analysis (BIA), and biochemical assessment. Measurements included serum ASP, C-peptide, HbA1c, lipid profile, total oxidative capacity (TOC), and total antioxidative capacity (TAC). IR was assessed using HOMA-IR, QUICKI, Matsuda Index, and the Triglyceride-Glucose Index (TyG). Serum ASP levels were significantly higher in O1 and O2 compared with CG (p < 0.001), and in O2 compared with O1 (p < 0.01). ASP positively correlated with fat mass, TOC, HOMA-IR, and TyG (p < 0.05), and negatively correlated with muscle mass, total body water, resting metabolic rate, QUICKI, and Matsuda Index (p < 0.05).In summary, ASP is strongly associated with IR and adverse metabolic profiles in obesity. Its robust correlation with TyG, particularly in individuals with advanced obesity, underscores its potential as a novel biomarker and therapeutic target in obesity-related metabolic dysfunction.</p>",2025,"['insulin', 'asprosin', 'asp', 'serum asp', 'serum asp', 'c - peptide', 'hba1c', 'serum asp', 'asp', 'homa', 'asp']","['insulin', 'asprosin', 'asp', 'c peptide', 'hba1c']"
Significance of GNAS mutations for morbid obesity in children.,"<h4>Background</h4>Hereditary forms of obesity are characterized by early severe heterogeneous manifestations of the phenotype along with a rapid progression to morbid obesity, primary due to pathogenic variants of certain genes. Most forms are characterized by moderate to severe neuropsychic developmental delays, dysmorphic features and organ-specific developmental anomalies.<h4>Result</h4>We searched for hereditary causes of morbid obesity in children by exome sequencing. As a result, we have identified 5 variants in the GNAS locus, two of which were identified for the first time: NM_000516.7(GNAS):c.201del, (p.Phe68Leufs*32) and NM_000516.7(GNAS):c.586 - 18_591del. Children showed tolerance to parathyroid hormone and thyroid-stimulating hormone. It has been observed that almost all the children with frameshift variants or nonsense mutations presented with subcutaneous ossifications.<h4>Conclusions</h4>The search for variants in a group of patients with morbid obesity, as conducted in our research, reaffirms the need for use molecular genetic testing to determine the main diagnosis and facilitate early detection of the disease. This is particularly relevant given the wide clinical variability of monogenic forms of obesity.",2025,"['h', 'g', 'nm', 'parathyroid hormone', '- s', 'h4']",['parathyroid hormone']
Exploring the Emerging Link Between Obesity-Induced Meta-Neuroinflammation and Osteoarthritis Pain Mechanisms,"Obesity is a complex, heterogeneous, chronic and progressive disease, which correlates with an augmented risk to develop several comorbidities with an enhanced risk of death. In addition to metabolic and cardiovascular diseases, obesity is related to depressive disorders and neurodegenerative diseases, in which gut microbiota dysbiosis plays a central role in triggering the meta-neuroinflammation through the gut-brain axis. In obese patients, the release of inflammatory mediators by dysfunctional adipocytes and the oxidative stress induces meta-neuroinflammation, which have been identified as the main physio-pathological pathway underlying chronic pain syndromes, particularly osteoar-thritis, low back pain, fibromyalgia, headache, and painful diabetic peripheral neu-ropathy. Both the peripheral and the central nervous system are involved in neuroin-flammatory processes, leading to central sensitization and pain chronification. Me-ta-neuroinflammation is also a potential peripheral target of treatment in degenerative joint disease, in order to minimize the traditional pharmacological approaches use. The ultramicronized palmitoylethanolamide is able to control the body weight, to exert neuroprotective, anti-neuroinflammatory and analgesic actions, and to restore intestinal eubiosis, with beneficial effects on mental disorders via the gut-brain axis. Finally, adelmidrol, as a PEA congener, available for intra-articular injection associated with hyaluronic acid, has been shown to modulate meta-neuroinflammation in knee osteo-arthritis.",2025,[],[]
"Semaglutide and human reproduction: caution at the intersection of energy balance, ovarian function, and follicular development.","Obese or overweight patients considering IVF are generally counselled to reduce weight closer to target BMI (i.e., < 30 kg/m<sup>2</sup>) by interventions entailing dietary change with a structured exercise program. There is little disagreement that supervised weight loss can improve reproductive outcome when successful, although there are refractory cases where weight goals are unmet. Because low-grade chronic inflammation and altered immune function are characteristic of obesity and antagonize implantation, any pre-IVF weight loss facilitated by semaglutide (SG) would be helpful. However, no preclinical data have considered the ovarian implications of SG. Several formulations of SG are now available to assist in chronic weight management, treatment of type-2 diabetes, or both. SG is 31-amino acid lipopeptide with action at the glucagon-like peptide-1 (GLP-1) receptor, which augments insulin secretion while lowering hepatic glucagon output. SG thus enters a multiorgan network where insulin, AMP-activated protein kinase (AMPK), insulin-like growth factor-1 (IGF-1), mammalian target of rapamycin (mTOR), and sirtuin pathways manage ambient nutritional conditions. As GLP-1 directly influences insulin release and curtails satiety, SG adjusts many biochemical cascades where potential interference with oocyte development or embryo/endometrial crosstalk require clarification. Particularly if used outside manufacturer's guidance (i.e., for aesthetic or personal reasons), SG could bring unwelcome challenges to fertility clinics where obesity and dyslipidemia are merely exchanged for the new problems of starvation and sarcopenia. Here we examine known GLP-1 actions where energy balance, ovarian aging, and oocyte competence converge; off label SG use should be avoided until its signaling effects throughout the reproductive axis are more carefully studied.",2025,"['s', 'sg', 'glucagon - like peptide - 1 ( glp - 1 ) receptor', 'insulin', 'hepatic glucagon', 'sg', 'insulin', 'amp - activated protein kinase', 'ampk', 'insulin - like growth factor - 1', 'igf - 1', 'ma', '##mmalian target of rapamycin', 'mtor', 'sirtuin', 'glp - 1', 'insulin', 'sg', '##g', 'glp - 1', 'sg']","['insulin', 'amp activated protein kinase', 'ampk', 'insulin like growth factor 1', 'mtor', 'sirtuin', 'glp 1']"
Intracellular fatty acid levels differentially impact target silencing by FDA-approved siRNA drugs.,"With seven approved and many more anticipated over the next decade, small interfering RNA (siRNA) therapeutics have emerged as an innovative class of nucleic acid-based drugs, offering potential treatments for both rare and common diseases. A substantial portion of the patient population affected by these diseases may also present with obesity and metabolic-associated fatty liver disease (MAFLD), conditions characterized by excessive accumulation of hepatic free fatty acids (FFAs). However, the impact of intracellular FFA levels on siRNA drug efficacy has not been fully determined. In this study, hepatic HepG2 and HepaRG cells were treated with varying concentrations of oleic and palmitic acids to simulate a microcellular environment with elevated FFA levels. Efficacy in the reduction of targets at both the mRNA and protein levels was determined for three selected Food and Drug Administration (FDA)-approved siRNA drugs, patisiran, vutrisiran, and inclisiran. Our findings demonstrate strong evidence that elevated intracellular FFA levels significantly alter the efficacy of the FDA-approved siRNA drugs, impacting both mRNA and protein target reduction and highlighting a previously underexplored factor which could impact clinical outcomes. Understanding the impact on siRNA efficacy is critical for optimizing the therapeutic potential of siRNA-based treatments for patients with FFA diseases, such as obesity and MAFLD.",2025,"['ffa', 'ffa', 'ffa']",['ffa']
Rosa roxburghii Tratt fruit extract ameliorate free fatty acid induced steatosis in HepG2 cells through activating PI3K-Akt and PPAR pathways.,"There has been a continuous increase in the global incidence of obesity. Rosa roxburghii Tratt (RRT), a plant with medicinal and edible uses, contains active components that can alleviate obesity, indicating an anti-obesity potential. This research sought to investigate the anti-obesity effects of RRT fruit extract (RRTE) and elucidate the underlying mechanisms and components responsible for its action. RRTE was obtained by enriching the active ingredient in RRT and used to treat HepG2 cells. RRTE alleviated cellular lipid accumulation, reduced reactive oxygen species production, restored cellular mitochondrial function, and enhanced energy metabolism. Network pharmacology combined with molecular docking was used to determine the targets, components, and mechanisms, which were validated through in vitro experiments. p-Coumaric acid and ethyl caffeate were identified as lipid-lowering active components that may reduce lipid accumulation and alleviate obesity through the PI3K-Akt and PPAR signaling pathways.",2025,"['pi3k', 'akt', 'ppar']","['pi3k', 'akt', 'ppar']"
Preoperative Weight Loss Among Morbidly Obese Patients Undergoing Total Knee Arthroplasty: It May Not Affect Outcomes.,"<h4>Background</h4>The increasing obesity rate among total knee arthroplasty (TKA) patients presents a growing issue regarding surgical decision-making. Given the association between morbid obesity (MO, body mass index [BMI] ≥ 40) and postoperative complications, as well as the technical and physical challenges of performing TKA in MO patients, many professional associations and institutions have adopted guidelines for preoperative weight loss in MO patients undergoing TKA.<h4>Methods</h4>Morbidly obese patients who underwent TKA from 2019 to 2021 were identified. Patients who had < 90 days between their initial appointment and the date of surgery (time before surgery) were excluded. Preoperative characteristics and intraoperative and postoperative outcomes were compared between patients who achieved meaningful (≥ 5%) or target (≥ 10%) preoperative weight loss and those who did not. Multiple logistic regression was performed to identify independent predictors of weight loss.<h4>Results</h4>Among all 115 patients, 13 (7.8%) gained meaningful weight (≥ 5% BMI increase), 59 (51.3%) did not experience meaningful weight change, and 47 (40.9%) lost meaningful weight, among whom 25 (21.7% of the full cohort) achieved target weight loss. Patients who achieved meaningful/target weight loss had higher preoperative BMI, more time before surgery, and lower proportions of Black patients, Hispanic/Latino patients, and patients undergoing revision surgery (P ≤ 0.038). There were no substantial differences in intraoperative or postoperative outcomes. In multiple logistic regression, higher preoperative BMI, more time before surgery, and non-Black race were independent predictors of weight loss (P ≤ 0.044).<h4>Conclusions</h4>A minority of MO patients achieve meaningful/target weight loss before TKA; however, preoperative weight loss does not appear to affect outcomes. Surgeons should provide more time for MO patients to lose weight preoperatively and more resources to patients (racial and ethnic minorities and those undergoing revision surgery) who may be at greater risk of not achieving meaningful/target weight loss.",2025,[],[]
The role of m6A methyltransferase METTL3 in metabolism-related diseases: Mechanism and clinical implications.,"Metabolism-related diseases, including obesity, non-alcoholic fatty liver disease (NAFLD), Atherosclerosis (As)，type 2 diabetes mellitus (T2DM), and diabetic complications, are rising at an alarming rate globally, significantly increasing the risk of life-threatening conditions. Furthermore, these diseases have emerged as a major public health challenge worldwide. N6-methyladenosine (m6A) is the most abundant post-transcriptional modification in eukaryotic messenger RNA molecules, catalyzed by methyltransferase complexes, with methyltransferase-like 3 (METTL3) serving as the sole catalytic subunit due to its unique structural properties. As a critical component of the m6A methylation mechanism, METTL3 profoundly influences metabolism-related diseases through various pathways, including the regulation of adipocyte differentiation, modulation of key metabolic genes, and mediation of inflammatory responses via cytokine secretion. This article reviews recent research findings that elucidate the precise molecular mechanisms underlying METTL3's involvement in these processes and assesses its potential as a therapeutic target, along with the associated challenges.",2025,"['methyltransferase - like 3', 'mettl3', 'mettl3', 'mettl3']",['mettl3']
Targeting the root cause of obesity-related comorbidities through weight independent and dependent actions on insulin sensitivity: Benefits of dual amylin and calcitonin receptor agonists.,"Insulin is the major endocrine hormone responsible for regulating whole-body glucose homeostasis by regulating glucose uptake in insulin-sensitive tissue. Obesity is one of the main factors initiating the development of insulin resistance through increased adipose tissue size, inflammation, and ectopic fat deposition in insulin-sensitive tissues. Inflammation and fat accumulation are key drivers for losing insulin sensitivity and are thereby part of triggering a wide range of pathological conditions and obesity-related comorbidities, in which insulin resistance is central. These included diabetes, liver and cardiovascular complications, musculoskeletal conditions, and neurodegenerative disorders among others. The number of conditions derived from metabolic dysregulation originating from insulin resistance highlights the importance of treating insulin resistance. The management of insulin resistance has evolved significantly with the ongoing growth of therapeutic options. The therapeutic landscape includes both potent weight loss therapies improving insulin sensitivity indirectly and insulin-sensitizing therapies specifically targeting insulin resistance. On the horizon are novel drug candidates like dual amylin and calcitonin receptor agonists (DACRAs), which elicit weight-loss, but also have insulin-sensitizing properties through a weight-independent action, thereby providing highly relevant additional value to the existing therapeutic options. This review introduces the mechanisms behind insulin resistance, focusing on the key insulin target tissues; skeletal muscle, liver, and white adipose tissue. More importantly, diseases triggered by insulin resistance are described, followed by a highlight of treatments improving insulin sensitivity through different mechanisms of action.",2025,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin', 'insulin', 'insulin', 'insulin', 'insulin', 'insulin', 'insulin', 'insulin', 'amylin', 'calcitonin receptor', 'insulin', 'insulin', 'insulin', 'insulin', 'insulin']","['insulin', 'amylin', 'calcitonin receptor']"
Cannabis Improves Metabolic Dysfunction and Macrophage Signatures in Obese Mice.,"Obesity rates continue to rise, highlighting the need for new treatments that are effective, safe, and widely accessible. Aligned with the easing of restrictions on cannabis use, interest in its therapeutic potential is evolving. As such, we examined the effects of the cannabis plant with high cannabidiol (CBD) content or high Δ<sup>9</sup>-tetrahydrocannabinol (THC) content on metabolic and immune dysregulation in obese mice. Briefly, female C57BL/6 mice were randomized into four groups (n=15/group): 1) Lean, 2) Obese Placebo, 3) Obese CBD, and 4) Obese THC. Lean mice consumed a low-fat diet for the study duration. Obese mice consumed a high-fat diet for 16 weeks prior to a 4-week cannabis (3x/week; high CBD = ~4.2 mg/kg and high THC = ~7.3 mg/kg) intervention. Consistent with our hypothesis, obesity increased Homeostasis Model Assessment of Insulin Resistance (HOMA-IR) and metabolic dysfunction-associated steatohepatitis (MASH) both of which were significantly mitigated by either high (10.5%) CBD or high (18.16%) THC cannabis (p<0.05). Interestingly, these changes appeared to occur independent of significant weight loss or measurable changes in food intake. Diet-induced obesity also increased infiltrating macrophages, pan macrophages, and M1-like pro-inflammatory macrophages in adipose tissue and liver. These effects were rescued by high CBD and high THC (p<0.05), providing evidence consistent with causation for the improvements in HOMA-IR and MASH. Despite the legal complexities surrounding cannabis use, these data suggest both CBD and THC can be a viable therapy to target macrophages and improve metabolic health and immune dysregulation with obesity.",2025,"['insulin', 'ho', 'homa']",['insulin']
Adiposome Proteomics Uncover Molecular Signatures of Cardiometabolic Risk in Obese Individuals.,"<h4>Background</h4>Adipose-derived extracellular vesicles (adiposomes) are emerging as key mediators of inter-organ communication, yet their molecular composition and role in obesity-related pathophysiology remain underexplored. This study integrates clinical phenotyping with proteomic analysis of visceral adipose-derived adiposomes to identify obesity-linked molecular disruptions.<h4>Methods</h4>Seventy-five obese and forty-seven lean adults were extensively profiled for metabolic, inflammatory, hepatic, and vascular parameters. Adiposomes isolated from visceral fat underwent mass spectrometry-based proteomic analysis, followed by differential abundance, pathway enrichment, regulatory network modeling, and clinical association testing.<h4>Results</h4>Obese individuals exhibited widespread cardiometabolic dysfunction. Proteomics revealed 64 adiposomal proteins with differential abundance. Upregulated proteins (e.g., CRP, C9, APOC1) correlated with visceral adiposity, systemic inflammation, and endothelial dysfunction. In contrast, downregulated proteins (e.g., ADIPOQ, APOD, TTR, FGB, FGG) were associated with enhanced nitric oxide bioavailability and vascular protection, suggesting loss of homeostatic signaling. Network analyses identified TNF and IL1 as key upstream regulators driving inflammatory and oxidative stress pathways. Decision tree and random forest models accurately classified obesity, hypertension, diabetes, dyslipidemia, and hepatic steatosis (AUC = 0.908-0.994), identifying predictive protein signatures related to complement activation, inflammation, and lipid transport.<h4>Conclusion</h4>Obesity alters adiposome proteomic cargo, reflecting and potentially mediating systemic inflammation, metabolic dysregulation, and vascular impairment.",2025,"['crp', 'c9', 'apoc1', 'ad', 'apod', 'ttr', 'fgb', 'fgg', 'tnf', 'il1']","['crp', 'apoc1', 'apod', 'ttr', 'fgb', 'fgg', 'tnf', 'il1']"
A Case Report of a Simultaneous Pediatric Orthotopic Liver Transplant and Vertical Sleeve Gastrectomy in a 10-Year-Old Male With Cirrhosis and Obesity.,"<h4>Background</h4>Liver transplantation is a lifesaving procedure for children with end-stage liver disease. Obesity and weight gain can lead to post-transplant steatosis and increased morbidity and mortality. Bariatric surgery improves outcomes in children with severe obesity by reducing weight and subsequent comorbidities. We present a case of simultaneous orthotopic liver transplant and vertical sleeve gastrectomy.<h4>Methods</h4>Retrospective case report.<h4>Results</h4>An 8-year-old male presented with right upper quadrant pain. Workup demonstrated cirrhosis with portal hypertension due to a vertically transmitted hepatitis C virus (HCV). Despite treatment for HCV, he developed decompensated disease and was listed for liver transplantation at 10 years of age. Due to class 3 severe obesity and associated comorbidities, he underwent a simultaneous vertical sleeve gastrectomy (VSG) and deceased donor orthotopic liver transplantation. Postoperative course was complicated by a prolonged oxygen requirement that resolved within 2 weeks. No staple line or gastric bleeding issues were noted. More than 1 year after transplantation, he has good graft function on tacrolimus monotherapy. He had a 21.1% reduction from his peak BMI of 42.97 to 33.91 kg/m<sup>2</sup> with weight stabilization postoperatively despite steroid use for induction immunosuppression.<h4>Conclusion</h4>Our experience demonstrates that liver transplant and vertical sleeve gastrectomy can be done concomitantly and safely in selected pediatric patients. Assessing the long-term outcomes of this and other similar patients will assist in the determination of optimal patient selection, target and actual BMI reduction, and metabolic goals in the pediatric liver transplant population.",2025,[],[]
The Cost-Effectiveness of Semaglutide and Tirzepatide for Patients With Knee Osteoarthritis and Obesity.,"<h4>Background</h4>Glucagon-like peptide-1 receptor agonists (GLP1RAs) lead to substantial weight loss and pain reduction in persons with knee osteoarthritis and obesity.<h4>Objective</h4>To evaluate the cost-effectiveness of 2 GLP1RAs, semaglutide and tirzepatide, for patients with osteoarthritis and obesity.<h4>Design</h4>Osteoarthritis Policy Model, a validated microsimulation model of knee osteoarthritis, to estimate lifetime benefits and costs of weight loss strategies.<h4>Data sources</h4>Published data to derive treatment-related weight loss, pain reduction, and costs of GLP1RAs from the U.S. Office of Health Policy.<h4>Target population</h4>Persons with knee osteoarthritis and obesity in the United States. The base-case cohort had a Western Ontario and McMaster Universities Osteoarthritis Index pain score of 71 (0 to 100, 100 worst) and a mean body mass index (BMI) of 40 kg/m<sup>2</sup>.<h4>Time horizon</h4>Lifetime.<h4>Perspective</h4>Health care, societal.<h4>Intervention</h4>Semaglutide, tirzepatide, laparoscopic sleeve gastrectomy (LSG), Roux-en-Y gastric bypass (RYGB), and diet and exercise.<h4>Outcome measures</h4>Quality-adjusted life-years (QALYs), cost, and incremental cost-effectiveness ratios (ICERs).<h4>Results of base-case analysis</h4>Tirzepatide provided greater health benefits at lower costs than semaglutide and yielded a $57 400 per QALY ICER versus diet and exercise. For those eligible, RYGB provided greater health benefits at lower costs than the 2 GLP1RAs and had a $30 700 per QALY ICER versus LSG.<h4>Results of sensitivity analysis</h4>Tirzepatide's ICER was most sensitive to changes in medication costs, treatment efficacy, and cohort baseline BMI. Tirzepatide had a 64% and semaglutide had a 34% probability of being cost-effective at a $100 000 per QALY threshold.<h4>Limitation</h4>Data from multiple sources.<h4>Conclusion</h4>Both tirzepatide and semaglutide would be widely considered cost-effective when compared directly with usual care. Tirzepatide would offer the most favorable return on investment to decision makers whose cost-effectiveness thresholds exceed $57 400 per QALY.<h4>Primary funding source</h4>The Arthritis Foundation and National Institute of Arthritis and Musculoskeletal and Skin Diseases.",2025,"['glucagon - like peptide - 1 receptor', 'glp1ras', 'glp', 'glp', 'glp']","['glucagon like peptide 1 receptor', 'glp']"
Decline in LDL-C control in patients with dyslipidemia treated with PCSK9-inhibitors: The role of obesity in LDL-C target achievement.,"<h4>Background</h4>Proprotein convertase subtilisin/kexin type 9 inhibitors (PCSK9-Is: alirocumab and evolocumab) have improved dyslipidemia management in patients with high cardiovascular risk. However, some patients fail to reach low-density lipoprotein cholesterol (LDL-C) targets.<h4>Objective</h4>To evaluate factors influencing PCSK9-I therapy effectiveness.<h4>Methods</h4>A retrospective study (2018-2023) analyzed adults treated with a PCSK9-I for at least 6 months with heterozygous familial hypercholesterolemia (He-FH) in primary prevention, dyslipidemia in secondary prevention, or diabetes with associated complications. Clinical, anthropometric data and lipid profiles were collected at baseline and after 6, 12, 24, and 36 months. The primary outcome was LDL-C target achievement according to European Society of Cardiology/European Atherosclerosis Society guidelines.<h4>Results</h4>Among 180 patients, approximately 45% achieved the LDL-C target. Patients with overweight and obesity showed significantly lower LDL-C reductions compared to normal-weight patients. Those reductions for overweight patients were 47.8%, 50.0%, and 44.0%, and for obese patients were 25.6%, 29.4%, and 28.6%, whereas normal-weight patients achieved reductions of 54.5% (P = .021), 62.5% (P = .024), and 65.4% (P = .024), respectively. Multivariate analysis confirmed these findings (odds ratio [OR]: 0.18, 95% CI, 0.06-0.53, P = .002) and highlighted that He-FH was associated with lower likelihood of achieving LDL-C targets (OR: 0.35, 95% CI, 0.15-0.82, P = .015). Conversely, patients with coronary artery disease (CAD) were more likely to reach LDL-C targets (OR: 4.54, 95% CI, 1.98-10.41, P < .0001). Concomitant oral lipid-lowering therapy was linked to a higher probability of achieving LDL-C targets compared to PCSK9-I monotherapy (OR: 14.5, 95% CI 2.26-92.9, P = .005).<h4>Conclusion</h4>Overweight, He-FH, CAD, and concomitant oral lipid-lowering therapy could influence the achievement of LDL-C target in patients treated with PCSK9-Is.",2025,"['proprotein convertase subtilisin / kexin type 9', 'pcsk9 - is', 'low - density lipoprotein cholesterol', 'ldl - c', 'pcsk9 - i', 'pcsk9 - i', 'ldl - c', 'ldl - c', 'ldl - c', 'ldl - c', 'ldl - c', 'ldl - c', 'ldl - c']",['low density lipoprotein cholesterol']
